"ID";"Leefomgeving";"Persoonskenmerken";"Perioden";"NietZoGelukkig_1";"Gelukkig_2";"NietZoTevredenMetHetLeven_3";"TevredenMetHetLeven_4"
"65";"  999";"15700";"2008JJ00";"      15";"      85";"      12";"      88"
"66";"  999";"15700";"2009JJ00";"      15";"      85";"      13";"      87"
"67";"  999";"15700";"2010XX00";"      18";"      82";"      14";"      86"
"68";"  999";"15700";"2010JJ00";"      20";"      80";"      16";"      84"
"69";"  999";"15700";"2012JJ00";"      18";"      82";"      15";"      85"
"70";"  999";"12600";"2003JJ00";"      11";"      89";"      12";"      88"
"71";"  999";"12600";"2004JJ00";"      11";"      89";"      12";"      88"
"72";"  999";"12600";"2005JJ00";"      11";"      89";"      12";"      88"
"73";"  999";"12600";"2006JJ00";"      10";"      90";"      12";"      88"
"74";"  999";"12600";"2007JJ00";"      11";"      89";"      12";"      88"
"75";"  999";"12600";"2008JJ00";"      10";"      90";"      11";"      89"
"76";"  999";"12600";"2009JJ00";"      10";"      90";"      11";"      89"
"77";"  999";"12600";"2010XX00";"      11";"      89";"      12";"      88"
"78";"  999";"12600";"2010JJ00";"      15";"      85";"      15";"      85"
"79";"  999";"12600";"2012JJ00";"      16";"      84";"      16";"      84"
"80";"  999";"12650";"2003JJ00";"      17";"      83";"      16";"      84"
"81";"  999";"12650";"2004JJ00";"      14";"      86";"      16";"      84"
"82";"  999";"12650";"2005JJ00";"      17";"      83";"      15";"      85"
"83";"  999";"12650";"2006JJ00";"      13";"      87";"      16";"      84"
"84";"  999";"12650";"2007JJ00";"      15";"      85";"      16";"      84"
"85";"  999";"12650";"2008JJ00";"      15";"      85";"      15";"      85"
"86";"  999";"12650";"2009JJ00";"      12";"      88";"      17";"      83"
"87";"  999";"12650";"2010XX00";"      15";"      85";"      18";"      82"
"88";"  999";"12650";"2010JJ00";"      19";"      81";"      18";"      82"
"89";"  999";"12650";"2012JJ00";"      19";"      81";"      21";"      79"
"90";"  999";"13000";"2003JJ00";"      28";"      72";"      25";"      75"
"91";"  999";"13000";"2004JJ00";"      28";"      72";"      27";"      73"
"92";"  999";"13000";"2005JJ00";"      28";"      72";"      27";"      73"
"93";"  999";"13000";"2006JJ00";"      22";"      78";"      28";"      72"
"94";"  999";"13000";"2007JJ00";"      25";"      75";"      19";"      81"
"95";"  999";"13000";"2008JJ00";"      23";"      77";"      19";"      81"
